assets.artemis_id,Custom.metrics,Count of assets.symbol
bluefin,ATL_DATE,1
bluefin,CIRC_SUPPLY,1
bluefin,CMC,1
bluefin,FDMC,1
bluefin,FDV,1
bluefin,FEES,1
bluefin,MAX_SUPPLY,1
bluefin,MC,1
bluefin,PRICE,1
bluefin,TOT_SUPPLY,1
bluefin,TRADING_VOLUME,1
bluefin,TVL,1
bsc,24H_MC_CHG,1
bsc,24H_MC_CHG_PCT,1
bsc,24H_PRICE_CHG,1
bsc,24H_PRICE_CHG_PCT,1
bsc,24H_PRICE_HIGH,1
bsc,24H_PRICE_LOW,1
bsc,24H_VOLUME,1
bsc,30D_PRICE_CHG_PCT,1
bsc,30D_VOLUME,1
bsc,7D_PRICE_CHG_PCT,1
bsc,ATH,1
bsc,ATH_CHG_PCT,1
bsc,ATH_DATE,1
bsc,ATL,1
bsc,ATL_CHG_PCT,1
bsc,ATL_DATE,1
bsc,CIRC_SUPPLY,1
bsc,CMC,1
bsc,DAILY_TXNS,1
bsc,DAU,1
bsc,DAU_OVER_100,1
bsc,DEX_VOLUMES,1
bsc,FDMC,1
bsc,FDV,1
bsc,FEES,1
bsc,MAX_SUPPLY,1
bsc,MC,1
bsc,NEW_TWITTER_FOLLOWERS,1
bsc,PRICE,1
bsc,REVENUE,1
bsc,STABLECOIN_GROWTH,1
bsc,STABLECOIN_MC,1
bsc,TOT_SUPPLY,1
bsc,TVL,1
bsc,TWITTER_FOLLOWERS,1
bsc,WEEKLY_COMMITS_CORE,1
bsc,WEEKLY_COMMITS_SUB,1
bsc,WEEKLY_CONTRACTS_DEPLOYED,1
bsc,WEEKLY_DEVS_CORE,1
bsc,WEEKLY_DEVS_SUB,1
bsc,WEEKLY_UNIQUE_CONTRACT_DEPLOYERS,1
canto,24H_MC_CHG,1
canto,24H_MC_CHG_PCT,1
canto,24H_PRICE_CHG,1
canto,24H_PRICE_CHG_PCT,1
canto,24H_PRICE_HIGH,1
canto,24H_PRICE_LOW,1
canto,24H_VOLUME,1
canto,30D_PRICE_CHG_PCT,1
canto,30D_VOLUME,1
canto,7D_PRICE_CHG_PCT,1
canto,ATH,1
canto,ATH_CHG_PCT,1
canto,ATH_DATE,1
canto,ATL,1
canto,ATL_CHG_PCT,1
